Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,c,Mn,Mw
409C,30,30.75,30,0.0316,0.079505,1.7767,0.06,2921000,2920000
409C,30,30.75,30,0.0464,0.10211,2.5593,0.06,2921000,2920000
409C,30,30.75,30,0.0681,0.16323,3.6822,0.06,2921000,2920000
409C,30,30.75,30,0.1,0.27755,5.3409,0.06,2921000,2920000
409C,30,30.75,30,0.147,0.46309,7.7081,0.06,2921000,2920000
409C,30,30.75,30,0.215,0.78785,11.127,0.06,2921000,2920000
409C,30,30.75,30,0.316,1.414,16.161,0.06,2921000,2920000
409C,30,30.75,30,0.464,2.5692,23.349,0.06,2921000,2920000
409C,30,30.75,30,0.681,4.978,33.493,0.06,2921000,2920000
409C,30,30.75,30,1,9.6285,47.562,0.06,2921000,2920000
409C,30,30.75,30,1.47,18.239,66.302,0.06,2921000,2920000
409C,30,30.75,30,2.15,33.309,89.48,0.06,2921000,2920000
409C,30,30.75,30,3.16,57.246,115.49,0.06,2921000,2920000
409C,30,30.75,30,4.64,91.308,140.7,0.06,2921000,2920000
409C,30,30.75,30,6.81,134.5,161.89,0.06,2921000,2920000
409C,30,30.75,30,10,183.86,176.44,0.06,2921000,2920000
409C,30,30.75,30,14.7,235.79,183.88,0.06,2921000,2920000
409C,30,30.75,30,21.5,287.19,185.55,0.06,2921000,2920000
409C,30,30.75,30,31.6,334.2,179.96,0.06,2921000,2920000
409C,30,30.75,30,46.4,376.48,172.47,0.06,2921000,2920000
409C,30,30.75,30,68.1,410.94,161.56,0.06,2921000,2920000
409C,30,30.75,30,100,428.39,148.43,0.06,2921000,2920000
409C,30,30.75,35,0.01,0.044572,0.55711,0.06,2921000,2920000
409C,30,30.75,35,0.0147,0.026884,0.75217,0.06,2921000,2920000
409C,30,30.75,35,0.0215,0.036506,1.0386,0.06,2921000,2920000
409C,30,30.75,35,0.0316,0.088488,1.4178,0.06,2921000,2920000
409C,30,30.75,35,0.0464,0.11591,2.0667,0.06,2921000,2920000
409C,30,30.75,35,0.0681,0.1333,2.9769,0.06,2921000,2920000
409C,30,30.75,35,0.1,0.2243,4.2631,0.06,2921000,2920000
409C,30,30.75,35,0.147,0.35569,6.1095,0.06,2921000,2920000
409C,30,30.75,35,0.215,0.58121,8.764,0.06,2921000,2920000
409C,30,30.75,35,0.316,0.98843,12.655,0.06,2921000,2920000
409C,30,30.75,35,0.464,1.8266,18.193,0.06,2921000,2920000
409C,30,30.75,35,0.681,3.4603,26.228,0.06,2921000,2920000
409C,30,30.75,35,1,6.6135,37.411,0.06,2921000,2920000
409C,30,30.75,35,1.47,12.632,52.55,0.06,2921000,2920000
409C,30,30.75,35,2.15,23.366,71.913,0.06,2921000,2920000
409C,30,30.75,35,3.16,41.05,94.68,0.06,2921000,2920000
409C,30,30.75,35,4.64,67.476,118.83,0.06,2921000,2920000
409C,30,30.75,35,6.81,102.92,141.35,0.06,2921000,2920000
409C,30,30.75,35,10,146.07,159.21,0.06,2921000,2920000
409C,30,30.75,35,14.7,194,171.02,0.06,2921000,2920000
409C,30,30.75,35,21.5,243.5,176.77,0.06,2921000,2920000
409C,30,30.75,35,31.6,290.62,174.52,0.06,2921000,2920000
