Sample_ID,Length_nm,Width_nm,Temp_C,Freq_rad_s,G1_Pa,G2_Pa,tan_delta,flag_suspicious,sample_weight
407C,100,29.16,25,3.16,476.71,94.999,0.19928048499087495,False,1.0
407C,100,29.16,25,4.64,500.61,97.552,0.1948662631589461,False,1.0
407C,100,29.16,25,6.81,525.18,99.575,0.18960166038310677,False,1.0
407C,100,29.16,25,10.0,550.1,101.32,0.18418469369205598,False,1.0
407C,100,29.16,25,14.7,575.26,102.83,0.1787539547335118,False,1.0
407C,100,29.16,25,21.5,600.09,104.68,0.17444050059157792,False,1.0
407C,100,29.16,25,31.6,622.83,103.6,0.16633752388292147,False,1.0
407C,100,29.16,25,46.4,643.7,103.07,0.16012117446015223,False,1.0
407C,100,29.16,25,68.1,657.67,101.21,0.15389176942843674,False,1.0
407C,100,29.16,25,100.0,656.5,95.742,0.14583701447067784,False,1.0
407C,100,29.16,30,0.01,237.75,76.706,0.3226330178759201,False,1.0
407C,100,29.16,30,0.0147,256.49,76.28,0.2973995087527779,False,1.0
407C,100,29.16,30,0.0215,273.61,78.128,0.2855451189649501,False,1.0
407C,100,29.16,30,0.0316,291.81,78.59,0.2693190774819232,False,1.0
407C,100,29.16,30,0.0464,309.85,79.831,0.2576440213006293,False,1.0
407C,100,29.16,30,0.0681,329.73,80.065,0.24281988293452217,False,1.0
407C,100,29.16,30,0.1,348.59,81.808,0.23468257838721712,False,1.0
407C,100,29.16,30,0.147,368.03,83.488,0.22685107192348453,False,1.0
